Time (ms) - X (V);Amplitude - X (V);Time (ms) - Y (V);Amplitude - Y (V);Time (ms) - Z (V);Amplitude - Z (V);Time (ms) - LED (V);Amplitude - LED (V);Time (ms) - Camera;Amplitude - Camera;Time (ms) - UV;Amplitude - UV
54;5;54;5;54;0;54;5;54;1;54;0
54;5;54;5;54;0;54;5;54;1;54;0
54;5;54;5;54;0;54;0;54;1;54;0
55;5;55;5;55;0;55;0;55;1;55;0
55;5;55;5;55;0;55;0;55;1;55;0
55;5;55;5;55;0;55;0;55;1;55;0
55;5;55;5;55;0;55;0;55;1;55;0
55;5;55;5;55;0;55;0;55;1;55;0
55;5;55;5;55;0;55;0;55;1;55;0
55;5;55;5;55;0;55;0;55;1;55;0
55;5;55;5;55;0;55;0;55;1;55;0
55;5;55;5;55;0;55;0;55;1;55;0
56;5;56;5;56;0;56;0;56;1;56;0
